Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual
Latvia,54,5.849999905,5.920263538,5.779736271,1.260748625,1.404714942,0.6385669708,0.3257079124,0.1530747861,0.07384272665,1.993655205
South Korea,55,5.837999821,5.922559028,5.753440613,1.401678443,1.128274441,0.900214076,0.2579216659,0.2066743672,0.06328266859,1.880378008
Moldova,56,5.837999821,5.908370838,5.767628803,0.7288706303,1.251825571,0.5894652009,0.2407290488,0.2087791264,0.01009128615,2.807808399
Romania,57,5.824999809,5.919694157,5.730305462,1.217683911,1.15009129,0.6851583123,0.4570037425,0.1335199177,0.004387900699,2.176831484
Bolivia,58,5.822999954,5.903976903,5.742023006,0.833756566,1.227619052,0.4736302495,0.5587329268,0.2255607247,0.06047772616,2.443279028
Turkmenistan,59,5.822000027,5.885180876,5.758819178,1.130776763,1.493149161,0.4377260804,0.418271929,0.2499249876,0.2592703402,1.832909822
Kazakhstan,60,5.818999767,5.903641775,5.73435776,1.28455627,1.384369016,0.6060415506,0.4374542832,0.2019644231,0.1192828864,1.784892559
North Cyprus,61,5.809999943,5.897366465,5.722633421,1.346911311,1.186303377,0.8346472383,0.4712036252,0.2668457031,0.1553533524,1.549157619
Slovenia,62,5.757999897,5.84222516,5.673774634,1.341205955,1.452518821,0.790828228,0.5725758076,0.2426490933,0.04512897879,1.313317299
Peru,63,5.715000153,5.811946779,5.618053527,1.035225272,1.218770385,0.6301661134,0.4500028789,0.1268197149,0.04704908654,2.20726943
Mauritius,64,5.629000187,5.729862192,5.528138182,1.189395547,1.20956099,0.638007462,0.4912473261,0.3609337509,0.04218155518,1.697583914
Cyprus,65,5.620999813,5.714692699,5.527306927,1.355938077,1.131363273,0.8447147012,0.3551115394,0.2712543011,0.0412379764,1.621249199
Estonia,66,5.611000061,5.688139874,5.533860248,1.32087934,1.4766711,0.6951683164,0.4791314304,0.0988908112,0.1832489222,1.357508659
Belarus,67,5.568999767,5.646114244,5.491885291,1.15655756,1.444945216,0.6377142668,0.2954002619,0.1551375091,0.1563138217,1.723232985
Libya,68,5.525000095,5.676953807,5.373046384,1.101803064,1.35756433,0.5201690197,0.4657332301,0.1520736665,0.09261021018,1.835011244
Turkey,69,5.5,5.594864963,5.405135037,1.198274374,1.337753177,0.6376056075,0.3007405996,0.04669304192,0.0996715799,1.879277945
Paraguay,70,5.493000031,5.57738127,5.408618791,0.9325373173,1.50728488,0.5792506933,0.4735077918,0.2241506577,0.09106591344,1.68533349
"Hong Kong S.A.R., China",71,5.472000122,5.549594173,5.394406071,1.551674843,1.262790918,0.9430624247,0.4909686446,0.3744657934,0.2939337492,0.5546331406
Philippines,72,5.429999828,5.545335054,5.314664602,0.8576992154,1.253917575,0.4680090547,0.5852146745,0.1935134232,0.09933189303,1.972604752
Serbia,73,5.394999981,5.491569656,5.298430306,1.069317579,1.258189797,0.6507846713,0.2087155282,0.2201258838,0.04090378061,1.947084427
Jordan,74,5.335999966,5.448410022,5.223589909,0.9910123944,1.239088893,0.6045900583,0.4184211493,0.1721704602,0.1198032722,1.791176558
Hungary,75,5.323999882,5.403039709,5.244960054,1.286011934,1.343133092,0.6877634525,0.1758635193,0.07840166241,0.03663693741,1.716459274
Jamaica,76,5.31099987,5.581398728,5.040601012,0.9255793095,1.368218064,0.6410223842,0.4743072391,0.2338183373,0.05526778102,1.612325668
Croatia,77,5.293000221,5.391777205,5.194223238,1.222556233,0.9679830074,0.7012885213,0.2557722926,0.2480029762,0.04310311005,1.854492426
Kosovo,78,5.278999805,5.364847995,5.193151615,0.9514843822,1.137853503,0.5414520502,0.2602879405,0.3199314475,0.05747161806,2.010540724
China,79,5.272999763,5.31927809,5.226721437,1.081165791,1.160837412,0.7414155006,0.472787708,0.028806841,0.02279427461,1.764938593
Pakistan,80,5.269000053,5.359983641,5.178016465,0.7268835306,0.6726906896,0.4020477831,0.2352152616,0.3154460192,0.1243480667,2.79248929
Indonesia,81,5.262000084,5.352888598,5.17111157,0.9955385923,1.274444699,0.4923457205,0.4433234632,0.6117045879,0.01531713549,1.429476976
Venezuela,82,5.25,5.370031946,5.129968054,1.128431201,1.431337595,0.617144227,0.1539971232,0.0650196299,0.06449112296,1.789463758
Montenegro,83,5.236999989,5.341044441,5.132955537,1.121129036,1.238376498,0.6674646735,0.1949890554,0.1979110241,0.0881741941,1.729191542
Morocco,84,5.235000134,5.318340965,5.151659302,0.8781145811,0.7748644352,0.597710669,0.4081583321,0.03220995516,0.08776318282,2.456189394
Azerbaijan,85,5.234000206,5.299286535,5.168713877,1.153601766,1.152400255,0.5407757759,0.3981558383,0.04526934028,0.1809875071,1.762481689
Dominican Republic,86,5.230000019,5.349060885,5.110939153,1.079373837,1.402416706,0.5748737454,0.5525898337,0.1869678497,0.1139452532,1.31946516
Greece,87,5.227000237,5.325246169,5.128754304,1.289487481,1.239414573,0.8101989031,0.09573125094,0,0.04328977689,1.749221563
Lebanon,88,5.224999905,5.318882288,5.131117521,1.074987531,1.129624248,0.7350810766,0.288515985,0.2644507587,0.03751382977,1.695073843
Portugal,89,5.195000172,5.285041733,5.10495861,1.315175295,1.367043018,0.7958435416,0.4984652996,0.09510271251,0.01586945169,1.107682705
Bosnia and Herzegovina,90,5.18200016,5.276335687,5.087664634,0.9824094176,1.069335938,0.7051863074,0.2044031769,0.3288674951,0,1.892172575
Honduras,91,5.181000233,5.301582797,5.060417669,0.7305731177,1.143944979,0.5825694799,0.3480798602,0.2361888736,0.07334545255,2.065811157
Macedonia,92,5.175000191,5.27217264,5.077827742,1.064577937,1.207893014,0.6449481845,0.3259059787,0.2537609637,0.06027779356,1.617469311
Somalia,93,5.151000023,5.24248371,5.059516336,0.02264318429,0.7211513519,0.1139891371,0.602126956,0.2916313112,0.2824103236,3.11748457
Vietnam,94,5.073999882,5.147280765,5.000718999,0.7885475755,1.277491331,0.6521689892,0.5710555911,0.2349680513,0.08763323724,1.462318659
Nigeria,95,5.073999882,5.209500135,4.938499628,0.7837562561,1.215770483,0.05691573024,0.3949525654,0.2309471965,0.02612156607,2.365390539
Tajikistan,96,5.040999889,5.111425596,4.970574183,0.5247136354,1.271463275,0.5292351246,0.4715667069,0.2489976436,0.1463771462,1.84904933
Bhutan,97,5.011000156,5.079334562,4.942665751,0.8854163885,1.340126514,0.4958792925,0.5015376806,0.4740545452,0.1733803898,1.140184402
Kyrgyzstan,98,5.004000187,5.089919903,4.918080471,0.5962200761,1.394238591,0.5534577966,0.4549433887,0.4285803735,0.039439179,1.536723137
Nepal,99,4.961999893,5.067356079,4.856643707,0.4798201919,1.179283261,0.5041307807,0.4403059483,0.3940961659,0.07297554612,1.891241074
Mongolia,100,4.954999924,5.021679509,4.888320338,1.027235866,1.493011236,0.5577834845,0.3941439688,0.3384642303,0.03290228918,1.111292362
South Africa,101,4.828999996,4.929435188,4.728564805,1.054698706,1.384788632,0.1870800704,0.4792467356,0.1393623799,0.0725094974,1.510908604
Tunisia,102,4.804999828,4.884367007,4.72563265,1.007265806,0.8683514595,0.613212049,0.2896806896,0.0496933572,0.08672314882,1.89025116
Palestinian Territories,103,4.775000095,4.881848343,4.668151848,0.7162492275,1.155647159,0.5656669736,0.2547110617,0.1141731739,0.08928260207,1.878890276
Egypt,104,4.735000134,4.82513379,4.644866477,0.9897018075,0.9974713922,0.5201872587,0.2821101546,0.1286314428,0.1143813655,1.702161074
Bulgaria,105,4.714000225,4.803694706,4.624305744,1.161459088,1.434379458,0.7082176805,0.2892317176,0.1131776944,0.01105153095,0.9961392879
Sierra Leone,106,4.709000111,4.850643335,4.567356886,0.3684209287,0.984136045,0.005564753897,0.318697691,0.2930409014,0.07109517604,2.668459892
Cameroon,107,4.695000172,4.796540857,4.593459486,0.5643053651,0.946018219,0.1328921169,0.4303887486,0.2362984568,0.05130663142,2.333645582
Iran,108,4.691999912,4.798224708,4.585775117,1.156873107,0.711551249,0.6393331885,0.2493226081,0.3872429132,0.0487610735,1.498734951
Albania,109,4.644000053,4.752464006,4.5355361,0.9961927533,0.8036852479,0.7311597466,0.3814986348,0.2013129443,0.039864216,1.490441561
Bangladesh,110,4.607999802,4.689821658,4.526177945,0.5866829753,0.7351317406,0.5332410336,0.4783566594,0.1722553521,0.1237178594,1.978736162
Namibia,111,4.573999882,4.770354741,4.377645023,0.9644343257,1.098470807,0.3386118114,0.5203035474,0.07713374496,0.09314697236,1.481890202
Kenya,112,4.552999973,4.655691591,4.450308356,0.5604794621,1.067950726,0.3099883497,0.4527637661,0.4448603094,0.06464131922,1.651902199
Mozambique,113,4.550000191,4.774102326,4.325898055,0.23430565,0.870701015,0.1066544354,0.4807910919,0.3222281039,0.1794363856,2.355650902
Myanmar,114,4.545000076,4.614739946,4.475260206,0.3671105504,1.123235941,0.3975225687,0.5144920349,0.838075161,0.1888162047,1.115290403
Senegal,115,4.534999847,4.601603781,4.468395914,0.4793090224,1.179691911,0.4093628526,0.3779222667,0.1834688932,0.115460448,1.789646149
Zambia,116,4.513999939,4.644105501,4.383894376,0.6364067793,1.003187299,0.2578358948,0.4616034925,0.2495801449,0.07821355015,1.826705456
Iraq,117,4.497000217,4.62259141,4.371409025,1.102710485,0.9786131978,0.50118047,0.2885555327,0.199637264,0.1072157547,1.318907261
Gabon,118,4.465000153,4.557361766,4.37263854,1.198210239,1.155620217,0.3565785885,0.312328577,0.04378537834,0.0760467872,1.322916269
Ethiopia,119,4.460000038,4.542728677,4.3772714,0.3392338455,0.8646692038,0.3534097075,0.4088427424,0.3126507401,0.1654557139,2.015743732
Sri Lanka,120,4.440000057,4.553447192,4.326552922,1.009850144,1.259976387,0.6251308322,0.5612132549,0.4908635616,0.07365396619,0.4193892479
Armenia,121,4.375999928,4.466734612,4.285265243,0.9005967379,1.007483721,0.637524426,0.1983032674,0.08348809183,0.0266744215,1.521499157
India,122,4.315000057,4.371522017,4.258478097,0.7922212481,0.7543725967,0.4554276168,0.469987005,0.2315384895,0.09222688526,1.519117117
Mauritania,123,4.291999817,4.377163616,4.206836018,0.6484572887,1.27203083,0.2853492796,0.09609804302,0.2018700242,0.1369570047,1.651637316
Congo (Brazzaville),124,4.290999889,4.410053505,4.171946274,0.8089642525,0.832044363,0.2899574339,0.4350258708,0.1208521277,0.0796181336,1.724135637
Georgia,125,4.285999775,4.374933966,4.197065584,0.9506126642,0.570614934,0.6495469809,0.3094100356,0.05400881544,0.2516666353,1.500137806
Congo (Kinshasa),126,4.28000021,4.357810833,4.202189587,0.0921023488,1.229023457,0.1914070249,0.2359613478,0.2464558333,0.06024135649,2.224958658
Mali,127,4.190000057,4.269670711,4.110329403,0.4761804938,1.281473398,0.1693656743,0.3066137433,0.1833541989,0.1049702466,1.668190956
Ivory Coast,128,4.179999828,4.275182563,4.084817093,0.6030489206,0.9047800303,0.04864216968,0.4477061927,0.2012374699,0.1300617754,1.844964266
Cambodia,129,4.168000221,4.278517814,4.057482629,0.6017650962,1.006238341,0.4297834039,0.6333758235,0.3859229684,0.06810595095,1.042941093
Sudan,130,4.138999939,4.345747165,3.932252713,0.6595166922,1.21400857,0.2909208238,0.01499585528,0.1823174506,0.08984751999,1.68706584
Ghana,131,4.119999886,4.222707209,4.017292563,0.6672248244,0.8736647367,0.2956377268,0.4230262935,0.2569239438,0.02533636987,1.577867508
Ukraine,132,4.096000195,4.185410105,4.006590285,0.8946519494,1.394537568,0.5759039521,0.1229747757,0.2700614631,0.02302947082,0.8143823147
Uganda,133,4.080999851,4.195799967,3.966199735,0.3814307153,1.129827738,0.2176326066,0.4431859553,0.3257660568,0.05706971884,1.526362658
Burkina Faso,134,4.032000065,4.124059064,3.939941065,0.3502277136,1.043280005,0.2158442587,0.324367851,0.2508646846,0.120328106,1.727212906
Niger,135,4.027999878,4.11194682,3.944052936,0.1619253308,0.9930250049,0.268505007,0.3636586964,0.2286738455,0.1385729462,1.873983383
Malawi,136,3.970000029,4.077478817,3.86252124,0.2334420383,0.5125688314,0.3150895834,0.4669146538,0.2871704698,0.07271165401,2.081786156
Chad,137,3.936000109,4.034711524,3.837288693,0.4380129874,0.9538558722,0.04113471508,0.1623420268,0.2161138505,0.05358188227,2.071238041
Zimbabwe,138,3.875,3.978699643,3.771300357,0.375846535,1.083095908,0.1967637539,0.336384207,0.1891434938,0.09537538141,1.597970247
Lesotho,139,3.808000088,4.044343975,3.5716562,0.5210212469,1.190095186,0,0.3906612992,0.1574972719,0.11909464,1.42983532
Angola,140,3.795000076,3.951641935,3.638358217,0.8584281802,1.10441196,0.04986866564,0,0.09792649001,0.0697203353,1.614482403
Afghanistan,141,3.79399991,3.873661415,3.714338405,0.4014772177,0.5815433264,0.1807467788,0.1061795205,0.3118709326,0.06115783006,2.150801182
Botswana,142,3.766000032,3.874122666,3.657877399,1.122094154,1.221554995,0.3417555094,0.5051963329,0.09934844822,0.09858319908,0.3779137135
Benin,143,3.657000065,3.745783551,3.568216578,0.4310854077,0.4352998435,0.2099302113,0.4259627759,0.2079484612,0.06092901528,1.885630965
Madagascar,144,3.644000053,3.714319106,3.573681001,0.3058086932,0.9130203724,0.3752233088,0.1891967654,0.2087325305,0.0672319755,1.584612608
Haiti,145,3.602999926,3.734714798,3.471285053,0.3686102629,0.6404498219,0.27732113,0.03036985733,0.4892037809,0.09987214953,1.697167635
Yemen,146,3.592999935,3.69275032,3.49324955,0.5916834474,0.935382247,0.3100809157,0.2494637221,0.1041252092,0.05676742271,1.345600605
South Sudan,147,3.59100008,3.725538586,3.456461574,0.3972486258,0.6013231277,0.1634860039,0.1470624357,0.2856708169,0.1167935133,1.879567385
Liberia,148,3.532999992,3.653756261,3.412243724,0.119041793,0.8721179366,0.2299181968,0.3328811824,0.2665498853,0.03894824907,1.673285961
Guinea,149,3.506999969,3.584428129,3.42957181,0.2445499301,0.7912446856,0.1941291392,0.348587513,0.2648150921,0.1109376177,1.552311897
Togo,150,3.494999886,3.594038112,3.395961659,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.1968961507,0.09566501528,1.837229252
Rwanda,151,3.470999956,3.543030234,3.398969679,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.2527560294,0.4552200139,0.5400612354
Syria,152,3.461999893,3.663668557,3.26033123,0.7771531343,0.3961026073,0.5005333424,0.08153944463,0.4936637282,0.1513471305,1.061573505
Tanzania,153,3.348999977,3.461429755,3.236570199,0.5111358762,1.041989803,0.3645092845,0.3900177777,0.3542563617,0.06603510678,0.6211304665
Burundi,154,2.904999971,3.074690333,2.73530961,0.09162256867,0.6297935843,0.1516107917,0.0599007532,0.2044351846,0.08414794505,1.683024168
Central African Republic,155,2.693000078,2.864884269,2.521115887,0,0,0.0187726859,0.2708420455,0.2808764875,0.05656507611,2.066004753
